Algorithm,r,Iterations,Error
HALS_RRI,25,1,175.8042208
HALS_RRI,25,2,140.2352246
HALS_RRI,25,3,124.9400528
HALS_RRI,25,4,117.367492
HALS_RRI,25,5,112.643324
HALS_RRI,25,6,109.356797
HALS_RRI,25,7,106.9737463
HALS_RRI,25,8,105.2038496
HALS_RRI,25,9,103.8478238
HALS_RRI,25,10,102.776961
HALS_RRI,25,11,101.9052679
HALS_RRI,25,12,101.1738968
HALS_RRI,25,13,100.5467314
HALS_RRI,25,14,99.99958743
HALS_RRI,25,15,99.51589897
HALS_RRI,25,16,99.08242825
HALS_RRI,25,17,98.69212493
HALS_RRI,25,18,98.33875988
HALS_RRI,25,19,98.01771236
HALS_RRI,25,20,97.72414223
HALS_RRI,25,21,97.45404905
HALS_RRI,25,22,97.20477578
HALS_RRI,25,23,96.9727489
HALS_RRI,25,24,96.75606051
HALS_RRI,25,25,96.55300414
HALS_RRI,25,26,96.36188694
HALS_RRI,25,27,96.18175902
HALS_RRI,25,28,96.01140439
HALS_RRI,25,29,95.85011348
HALS_RRI,25,30,95.69702008
HALS_RRI,25,31,95.55170489
HALS_RRI,25,32,95.41341312
HALS_RRI,25,33,95.28190967
HALS_RRI,25,34,95.15676963
HALS_RRI,25,35,95.03744184
HALS_RRI,25,36,94.92327194
HALS_RRI,25,37,94.81367008
HALS_RRI,25,38,94.70895651
HALS_RRI,25,39,94.60846546
HALS_RRI,25,40,94.51147143
HALS_RRI,25,41,94.41761023
HALS_RRI,25,42,94.32669978
HALS_RRI,25,43,94.23852558
HALS_RRI,25,44,94.15314655
HALS_RRI,25,45,94.07035214
HALS_RRI,25,46,93.99003874
HALS_RRI,25,47,93.91221533
HALS_RRI,25,48,93.8369052
HALS_RRI,25,49,93.76379039
HALS_RRI,25,50,93.69275682
HALS_RRI,25,51,93.62384847
HALS_RRI,25,52,93.55689201
HALS_RRI,25,53,93.49172863
HALS_RRI,25,54,93.42836909
HALS_RRI,25,55,93.36680982
HALS_RRI,25,56,93.30700116
HALS_RRI,25,57,93.24896546
HALS_RRI,25,58,93.19263593
HALS_RRI,25,59,93.13799827
HALS_RRI,25,60,93.08497291
HALS_RRI,25,61,93.03339636
HALS_RRI,25,62,92.98318151
HALS_RRI,25,63,92.93424159
HALS_RRI,25,64,92.88648618
HALS_RRI,25,65,92.83983075
HALS_RRI,25,66,92.79419313
HALS_RRI,25,67,92.74948425
HALS_RRI,25,68,92.7055956
HALS_RRI,25,69,92.66254988
HALS_RRI,25,70,92.6202371
HALS_RRI,25,71,92.57863188
HALS_RRI,25,72,92.53771784
HALS_RRI,25,73,92.49748168
HALS_RRI,25,74,92.45787841
HALS_RRI,25,75,92.41889883
HALS_RRI,25,76,92.38053572
HALS_RRI,25,77,92.34270233
HALS_RRI,25,78,92.30536492
HALS_RRI,25,79,92.26848636
HALS_RRI,25,80,92.23208654
HALS_RRI,25,81,92.1961208
HALS_RRI,25,82,92.16056315
HALS_RRI,25,83,92.12539749
HALS_RRI,25,84,92.09065593
HALS_RRI,25,85,92.05633731
HALS_RRI,25,86,92.02242996
HALS_RRI,25,87,91.98894376
HALS_RRI,25,88,91.95585141
HALS_RRI,25,89,91.92316068
HALS_RRI,25,90,91.89087825
HALS_RRI,25,91,91.85899369
HALS_RRI,25,92,91.82753618
HALS_RRI,25,93,91.79654537
HALS_RRI,25,94,91.76604221
HALS_RRI,25,95,91.73598732
HALS_RRI,25,96,91.7063725
HALS_RRI,25,97,91.67722177
HALS_RRI,25,98,91.64857296
HALS_RRI,25,99,91.62040682
HALS_RRI,25,100,91.59273672
HALS_RRI,25,101,91.5655496
HALS_RRI,25,102,91.53884783
HALS_RRI,25,103,91.5126475
HALS_RRI,25,104,91.4869436
HALS_RRI,25,105,91.46175379
HALS_RRI,25,106,91.43708402
HALS_RRI,25,107,91.41293639
HALS_RRI,25,108,91.38930105
HALS_RRI,25,109,91.36619422
HALS_RRI,25,110,91.34362828
HALS_RRI,25,111,91.3216016
HALS_RRI,25,112,91.30007682
HALS_RRI,25,113,91.27905434
HALS_RRI,25,114,91.25856763
HALS_RRI,25,115,91.23864444
HALS_RRI,25,116,91.21931388
HALS_RRI,25,117,91.20066332
